eventSequence,eventType,levelId,playerId,position,reason,sessionId,timestamp,viewBeforeEvent
-1,Win,Level2,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': -3.000004291534424, 'y': -14.0, 'z': -0.5}",N/A,02ac8c74-a30d-4f04-ae7f-4f1aa77860a3,1744009235689,N/A
-1,Start,Level3,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': 16.0, 'y': -14.0, 'z': -0.5}",N/A,28c37d92-0103-40cc-b74d-ecba496fbdf4,1744009236922,Platformer
1,Shift,Level3,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': 13.199989318847656, 'y': -9.820796012878418, 'z': -0.5}",N/A,28c37d92-0103-40cc-b74d-ecba496fbdf4,1744009239659,Platformer
2,Shift,Level3,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': 13.99997329711914, 'y': -10.999998092651367, 'z': -0.5}",N/A,28c37d92-0103-40cc-b74d-ecba496fbdf4,1744009264085,TopDown
3,Shift,Level3,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': 15.75999927520752, 'y': -14.0, 'z': -0.5}",N/A,28c37d92-0103-40cc-b74d-ecba496fbdf4,1744009269898,Platformer
4,Shift,Level3,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': 14.99997329711914, 'y': -10.999998092651367, 'z': -0.5}",N/A,28c37d92-0103-40cc-b74d-ecba496fbdf4,1744009271927,TopDown
5,Shift,Level3,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': 15.75999927520752, 'y': -14.0, 'z': -0.5}",N/A,28c37d92-0103-40cc-b74d-ecba496fbdf4,1744009272927,Platformer
6,Shift,Level3,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': 14.99997329711914, 'y': -10.999998092651367, 'z': -0.5}",N/A,28c37d92-0103-40cc-b74d-ecba496fbdf4,1744009275153,TopDown
7,Shift,Level3,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': 15.75999927520752, 'y': -14.0, 'z': -0.5}",N/A,28c37d92-0103-40cc-b74d-ecba496fbdf4,1744009315187,Platformer
8,Shift,Level3,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': 14.99997329711914, 'y': -10.999998092651367, 'z': -0.5}",N/A,28c37d92-0103-40cc-b74d-ecba496fbdf4,1744009320481,TopDown
9,Shift,Level3,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': 13.459990501403809, 'y': -9.917938232421875, 'z': -0.5}",N/A,28c37d92-0103-40cc-b74d-ecba496fbdf4,1744009324252,Platformer
10,Shift,Level3,0e2981f3-415a-4b9e-b51e-0bef1092dcba,"{'x': 13.99997329711914, 'y': -10.999998092651367, 'z': -0.5}",N/A,28c37d92-0103-40cc-b74d-ecba496fbdf4,1744009327116,TopDown
